"","start","end","mass","entrynames","ID"
"105",365,375,110.09642,"C7H11N$M+H",1
"106",365,370,195.08696,"C7H18O2SSi$M+H",1
"107",367.5,372.5,112.11208,"C7H13N$M+H",1
"108",367.5,372.5,112.99982,"CH5O4P$M+H",1
"109",370,375,124.02155,"C6H5NS$M+H",1
"110",375,387.5,143.15427,"C8H18N2$M+H",1
"111",375,405,147.09167,"C9H10N2$M+H",1
"112",377.5,385,145.16992,"C8H20N2$M+H",1
"113",382.5,412.5,156.07675,"C6H9N3O2$M+H",1
"114",387.5,427.5,151.052555,"C5H6N6$M+H#C7H6N2S$M+H",1
"115",387.5,395,355.11284,"C11H24NaO9P$M+H",1
"116",390,420,192.07675,"C9H9N3O2$M+H",1
"117",395,410,349.09094,"C12H17ClN4O6$M+H#C12H17ClN4O6$M+H",1
"118",405,410,141.13862,"C8H16N2$M+H",1
"119",410,427.5,171.18557,"C10H22N2$M+H#C10H22N2$M+H",1
"120",412.5,427.5,143.15427,"C8H18N2$M+H#C8H18N2$M+H",1
"121",412.5,442.5,156.07675,"C6H9N3O2$M+H#C6H9N3O2$M+H",1
"122",420,450,192.07675,"C9H9N3O2$M+H",1
"123",427.5,457.5,151.03244,"C7H6N2S$M+H",1
"124",427.5,432.5,234.109,"C8H15N3O5$M+H",1
"125",430,435,223.06434,"C9H18S3$M+H",1
"126",432.5,437.5,352.1768,"C19H21N5O2$M+H",1
"127",440,445,281.09544,"C13H16N2O3S$M+H",1
"128",440,445,287.14618,"C17H22O2Si$M+H",1
"129",442.5,457.5,156.07675,"C6H9N3O2$M+H",1
"130",447.5,452.5,136.0393,"C7H5NO2$M+H",1
"131",450,480,120.05562,"C6H5N3$M+H",1
"132",450,480,192.07675,"C9H9N3O2$M+H",1
"133",452.5,482.5,133.08592,"C6H12O3$M+H",1
"134",457.5,487.5,151.03244,"C7H6N2S$M+H",1
"135",457.5,475,261.122,"C13H16N4O2$M+H#C18H16Si$M+H",1
"136",477.5,482.5,176.14337,"C12H17N$M+H",1
"137",480,520,192.07675,"C9H9N3O2$M+H#C9H9N3O2$M+H#C9H9N3O2$M+H",1
"138",487.5,517.5,151.03244,"C7H6N2S$M+H",1
"139",490,520,189.9821,"C7H5Cl2NO$M+H",1
"140",492.5,500,154.00542,"C7H4ClNO$M+H",1
"141",492.5,522.5,174.0541,"C5H8ClN5$M+H",1
"142",500,505,157.10118,"C12H12$M+H",1
"143",507.5,512.5,143.15427,"C8H18N2$M+H",1
"144",512.5,542.5,189.10224,"C11H12N2O$M+H",1
"145",517.5,547.5,151.03244,"C7H6N2S$M+H",1
"146",520,525,130.06513,"C9H7N$M+H",1
"147",520,550,189.9821,"C7H5Cl2NO$M+H",1
"148",522.5,552.5,174.0541,"C5H8ClN5$M+H",1
"149",525,530,225.1346,"C10H16N4O2$M+H",1
"150",530,542.5,251.05174,"C12H14N2O4$M+H#C7H13Cl3O3$M+H",1
"151",542.5,572.5,167.15427,"C10H18N2$M+H",1
"152",542.5,572.5,189.07843,"C11H12N2O$M+H#C11H8O3$M+H",1
"153",547.5,577.5,151.03244,"C7H6N2S$M+H#C7H6N2S$M+H",1
"154",550,580,189.9821,"C7H5Cl2NO$M+H",1
"155",552.5,582.5,174.0541,"C5H8ClN5$M+H",1
"156",572.5,582.5,135.09998,"C6H15FSi$M+H",1
"157",572.5,607.5,167.15427,"C10H18N2$M+H#C10H18N2$M+H",1
"158",577.5,600,151.03244,"C7H6N2S$M+H#C7H6N2S$M+H",1
"159",580,620,189.9821,"C7H5Cl2NO$M+H#C7H5Cl2NO$M+H#C7H5Cl2NO$M+H",1
"160",582.5,600,146.0228,"C3H4ClN5$M+H",1
"161",582.5,617.5,174.0541,"C5H8ClN5$M+H#C5H8ClN5$M+H",1
"162",600,610,151.028075,"C4H6O6$M+H#C7H6N2S$M+H",1
"163",600,607.5,326.23258,"C18H31NO4$M+H",1
"164",610,615,327.1227,"C19H18O5$M+H",1
"165",612.5,642.5,188.06975,"C6H10ClN5$M+H",1
"166",615,627.5,88.02155,"C3H5NS$M+H",1
"167",615,620,213.06585,"C12H8N2O2$M+H",1
"168",617.5,622.5,127.01547,"C2H7O4P$M+H",1
"169",620,625,128.97715,"C2H5ClO2S$M+H",1
"170",620,635,174.0541,"C5H8ClN5$M+H#C5H8ClN5$M+H",1
"171",622.5,652.5,134.07127,"C7H7N3$M+H",1
"172",625,630,413.14317,"C24H26ClO2P$M+H",1
"173",627.5,635,167.15427,"C10H18N2$M+H",1
"174",632.5,662.5,189.10224,"C11H12N2O$M+H",1
"175",635,640,417.1169,"C20H15F3N4O3$M+H",1
"176",637.5,642.5,174.0541,"C5H8ClN5$M+H",1
"177",640,650,156.01138,"C6H5NO2S$M+H",1
"178",642.5,672.5,188.06975,"C6H10ClN5$M+H",1
"179",642.5,647.5,292.01533,"C9H10ClN3O4S$M+H",1
"180",647.5,667.5,167.15427,"C10H18N2$M+H#C10H18N2$M+H",1
"181",652.5,677.5,127.01547,"C2H7O4P$M+H#C3H7ClO3$M+H",1
"182",652.5,690,134.065655,"C7H7N3$M+H#C8H7NO$M+H",1
"183",662.5,667.5,181.13353,"C10H16N2O$M+H",1
"184",672.5,680,187.03897,"C11H6O3$M+H",1
"185",672.5,702.5,188.06975,"C6H10ClN5$M+H",1
"186",672.5,680,251.03726,"C12H10O4S$M+H",1
"187",677.5,682.5,157.01074,"C4H5NaO5$M+H",1
"188",682.5,695,179.11789,"C10H14N2O$M+H",1
"189",685,715,118.06513,"C8H7N$M+H",1
"190",687.5,702.5,120.08077,"C8H9N$M+H",1
"191",690,697.5,103.05423,"C8H6$M+H",1
"192",697.5,705,155.04677,"C4H11O4P$M+H",1
"193",697.5,727.5,164.10699,"C10H13NO$M+H",1
"194",702.5,712.5,167.15427,"C10H18N2$M+H",1
"195",702.5,732.5,188.06975,"C6H10ClN5$M+H",1
"196",705,735,154.01665,"C6H4ClN3$M+H",1
"197",712.5,742.5,94.06513,"C6H7N$M+H",1
"198",715,745,118.06513,"C8H7N$M+H",1
"199",727.5,735,181.09715,"C9H12N2O2$M+H",1
"200",732.5,742.5,156.07675,"C6H9N3O2$M+H",1
"201",735,770,154.01665,"C6H4ClN3$M+H#C6H4ClN3$M+H",1
"202",740,745,199.06327,"C9H11ClN2O$M+H",1
"203",742.5,750,167.15427,"C10H18N2$M+H",1
"204",742.5,772.5,202.0854,"C7H12ClN5$M+H",1
"205",745,775,183.07807,"C6H15O4P$M+H",1
"206",745,775,229.07383,"C10H13ClN2O2$M+H",1
"207",750,765,198.1494,"C11H19NO2$M+H#C11H19NO2$M+H",1
"208",765,775,198.06802,"C10H12ClNO$M+H",1
"209",775,780,188.06975,"C6H10ClN5$M+H",1
"210",775,805,229.07383,"C10H13ClN2O2$M+H#C10H13ClN2O2$M+H",1
"211",775,782.5,311.19653,"C16H26N2O4$M+H",1
"212",777.5,782.5,155.14304,"C10H18O$M+H",1
"213",777.5,785,257.29513,"C16H36N2$M+H",1
"214",782.5,787.5,154.01665,"C6H4ClN3$M+H",1
"215",782.5,817.5,189.10224,"C11H12N2O$M+H#C11H12N2O$M+H",1
"216",785,815,199.06327,"C9H11ClN2O$M+H",1
"217",785,795,247.16523,"C11H22N2O4$M+H",1
"218",790,805,194.09643,"C14H11N$M+H",1
"219",795,800,192.08078,"C14H9N$M+H",1
"220",802.5,832.5,202.067635,"C7H12ClN5$M+H#C11H7NO3$M+H",1
"221",805,810,188.06975,"C6H10ClN5$M+H",1
"222",805,810,276.12358,"C15H17NO4$M+H",1
"223",812.5,817.5,166.03211,"C8H7NOS$M+H",1
"224",812.5,842.5,211.07536,"C14H10O2$M+H",1
"225",815,845,199.06327,"C9H11ClN2O$M+H",1
"226",817.5,822.5,135.04406,"C8H6O2$M+H",1
"227",817.5,830,189.1128,"C8H16N2O3$M+H#C11H12N2O$M+H",1
"228",822.5,830,190.12264,"C12H15NO$M+H",1
"229",830,837.5,230.21145,"C13H27NO2$M+H",1
"230",830,840,401.23376,"C19H37NaO5S$M+H",1
"231",832.5,840,139.12297,"C8H14N2$M+H",1
"232",837.5,867.5,248.12812,"C14H17NO3$M+H",1
"233",840,860,189.10224,"C11H12N2O$M+H#C11H12N2O$M+H",1
"234",842.5,850,183.07807,"C6H15O4P$M+H",1
"235",842.5,850,289.21621,"C19H28O2$M+H",1
"236",845,875,199.06327,"C9H11ClN2O$M+H#C9H11ClN2O$M+H",1
"237",850,880,215.09611,"C8H14N4OS$M+H",1
"238",850,880,286.95808,"C6H14OS2Sn$M+H",1
"239",860,872.5,263.12912,"C16H14N4$M+H",1
"240",867.5,882.5,174.0541,"C5H8ClN5$M+H",1
"241",872.5,890,253.13353,"C16H16N2O$M+H",1
"242",875,882.5,189.10224,"C11H12N2O$M+H",1
"243",880,910,192.13829,"C12H17NO$M+H",1
"244",880,912.5,286.95808,"C6H14OS2Sn$M+H#C6H14OS2Sn$M+H",1
"245",885,900,119.04914,"C8H6O$M+H",1
"246",885,915,284.96115,"C6H12Cl3O4P$M+H#C6H12Cl3O4P$M+H",1
